epoch,acc,loss,val_acc,val_loss
0,0.6291491790883916,0.6309282051293461,0.72607421875,0.5302866331767291
1,0.7291110257118179,0.5506510822339078,0.712188720703125,0.5482873468426988
2,0.7512399846476846,0.5318523989816242,0.74749755859375,0.522434217040427
3,0.762685998029174,0.5187373589532424,0.7572021484375,0.4956692614359781
4,0.7699351396236834,0.5059991625941741,0.748199462890625,0.5108634162461385
5,0.784814956009911,0.4903192140363819,0.760406494140625,0.5057925709988922
6,0.79359023259915,0.4720507510196885,0.753448486328125,0.5110364186111838
7,0.8107592521028544,0.4476115173372045,0.760894775390625,0.4940311866812408
8,0.8283098053722971,0.42762636006992766,0.745758056640625,0.5287917732493952
9,0.826783669809038,0.41493501663435417,0.762237548828125,0.494448731187731
10,0.8515833650368491,0.37976959315887254,0.754302978515625,0.5097955007804558
11,0.8519648992801522,0.36746648789725656,0.762664794921875,0.5018787224544212
12,0.8798168632693983,0.3293325163080055,0.75494384765625,0.5395230096764863
13,0.8908813424985493,0.30541567295755606,0.753997802734375,0.5665171786677092
14,0.8931705455478026,0.29066574230693487,0.755950927734375,0.5737556869862601
15,0.8927890117593232,0.28594343621782653,0.735870361328125,0.6093676659511402
16,0.9130103013889338,0.25185729684333047,0.744842529296875,0.6046978937229142
17,0.9210225104694374,0.22901582340960375,0.7344970703125,0.6674346542567946
18,0.9221671117666522,0.22023501674417592,0.73822021484375,0.6841447349870577
19,0.9301793213247207,0.1994533030552884,0.744140625,0.6455815557856113
20,0.9431514684274332,0.17836631986872925,0.7457275390625,0.7035167645663023
21,0.9381915299049183,0.17767415099337736,0.741973876953125,0.6981823449023068
22,0.9557420836291847,0.14195130887103416,0.722412109375,0.7530591526301578
23,0.9366653943871415,0.18140351894542217,0.731781005859375,0.677331957151182
