epoch,accuracy,loss,val_accuracy,val_loss
0,0.64555514,0.6284109886617708,0.74057007,0.5337524793576449
1,0.7493323,0.5409855151030909,0.7339783,0.5440033642807975
2,0.75543684,0.5331791913814101,0.7481079,0.5118165161693469
3,0.76764596,0.5160678292403281,0.7494507,0.5148306825431064
4,0.7729874,0.5081318457678773,0.744812,0.5190924728522077
5,0.77222437,0.5051919221309522,0.74731445,0.5147090271348134
6,0.77756584,0.49392609812748517,0.74749756,0.5106142340227962
7,0.7920641,0.4879812715572967,0.7441101,0.515853809309192
8,0.79778713,0.47545103177866016,0.7468262,0.5209087366238236
9,0.791301,0.4689679413135613,0.74227905,0.5258472493151203
10,0.80808854,0.46110726762754867,0.7489929,0.5155045228311792
11,0.8180084,0.4440656836844273,0.7474365,0.5158838534262031
12,0.8237314,0.4354241752001403,0.7491455,0.5086968304822221
13,0.82869136,0.42657219640447275,0.7366638,0.5379434078931808
14,0.83250666,0.4084646797894249,0.7478943,0.5113978210138157
15,0.8409004,0.3989884694743275,0.7402954,0.5301256862003356
16,0.8416635,0.3916845428084017,0.7473755,0.523095935350284
17,0.8538726,0.38027085943196576,0.74380493,0.532860056264326
18,0.8618848,0.36107332501325934,0.7349243,0.5546375340782106
19,0.86035866,0.3588598818325987,0.7440796,0.5371379284188151
20,0.8752385,0.33516113993913244,0.6982422,0.6639109408133663
21,0.87638307,0.3329123418802344,0.7322693,0.5588534531416371
22,0.8798169,0.32862213931662215,0.72662354,0.5691815483151004
23,0.88057995,0.3131479186804319,0.7222595,0.6042775998357683
24,0.8828691,0.30801252892844233,0.73651123,0.5649936606641859
25,0.8897367,0.2925961157580634,0.73791504,0.5698280886281282
26,0.9076688,0.2718813944777111,0.74090576,0.5748490651603788
27,0.90232736,0.269434764600355,0.7253113,0.6248016672907397
28,0.9160626,0.2510597731766015,0.70666504,0.667961401748471
